ad_id,is_viewd,hour,browser,fold,site_id,site_domain,site_category,user_id,device_vendor,device_type,connection,screen width,ad height,load time (ms),attempt index,avg scroll depth in url,traffic_source
1.16440111266134E+019,0,00,facebook ios,1,85f751fd,c4e18dd6,50e219e0,6e8b51b2,620311f4,mobile,wifi,320,50,2161,0,57,direct
1.27379275160823E+019,0,00,facebook ios,1,1fbe01fe,f3845767,28905ebd,cafcf3f8,293291c1,mobile,wifi,320,50,1722,0,21,serach
1.40212175706037E+018,0,00,facebook ios,1,5b08c53b,7687a86e,3e814130,667690,a25f5408,mobile,wifi,300,250,1994,2,67,serach
1.56833846645695E+018,0,00,facebook ios,1,35584290,880a1c2d,f028772b,a53800a9,8a4875bd,mobile,wifi,320,50,2333,0,57,direct
1.76921830005956E+019,0,00,facebook ios,1,543a539e,c7ca3108,3e814130,1a625b72,85ee5f3e,mobile,wifi,320,50,2333,0,57,serach
2.1418419200962E+018,0,00,facebook ios,1,1fbe01fe,f3845767,28905ebd,c7b17571,3bd9e8e7,mobile,wifi,320,50,1722,0,21,social
4.21059653727765E+018,0,00,facebook ios,1,1fbe01fe,f3845767,28905ebd,82992a31,1f883dc7,mobile,wifi,320,50,1722,0,21,direct
6.26385435190577E+018,0,00,facebook ios,1,1fbe01fe,f3845767,28905ebd,81df3cb3,3bd9e8e7,mobile,wifi,320,50,1722,0,21,social
6.50887872052465E+018,0,00,facebook ios,1,543a539e,c7ca3108,3e814130,470f78e3,24f6b932,mobile,wifi,320,50,2333,0,57,serach
8.54757784655903E+018,0,00,other browser,2,85f751fd,c4e18dd6,50e219e0,5d1d886d,UNKNOWN,bot,wifi,320,50,2333,0,57,serach
9.34218990246194E+018,0,00,facebook ios,1,85f751fd,c4e18dd6,50e219e0,760d0b54,cd63b0bb,mobile,wifi,320,50,2307,3,39,social
9.57755531751481E+018,0,00,facebook ios,1,1fbe01fe,f3845767,28905ebd,f03db79e,3bd9e8e7,mobile,wifi,320,50,1722,0,21,serach
9.64243658218796E+018,0,00,facebook ios,1,1fbe01fe,f3845767,28905ebd,bca8f26d,8a4875bd,mobile,wifi,320,50,1722,0,21,social
1.05198035870808E+019,0,01,facebook ios,1,1fbe01fe,f3845767,28905ebd,db2e2178,8a4875bd,mobile,wifi,320,50,1722,0,21,social
1.08509017508632E+019,0,01,facebook ios,1,1fbe01fe,f3845767,28905ebd,9611cdae,2203a096,mobile,wifi,320,50,1722,0,21,direct
1.30759199134782E+019,0,01,facebook ios,1,85f751fd,c4e18dd6,50e219e0,bc4176f7,99e427c9,mobile,wifi,320,50,2480,3,39,serach
1.35636866368055E+019,0,01,facebook ios,2,e151e245,7e091613,f028772b,6816f64f,8991c1d8,mobile,wifi,320,50,2333,0,57,social
1.45704767079508E+019,0,01,facebook ios,2,8c788ce9,eac4567d,3e814130,08502ed6,900981af,mobile,2G,320,50,2161,0,57,direct
1.60504460848156E+019,1,01,facebook ios,2,d9750ee7,98572c79,f028772b,01c3cdc7,1f0bc64f,mobile,wifi,320,50,1993,2,67,social
1.71040231414454E+019,0,01,facebook ios,1,85f751fd,c4e18dd6,50e219e0,e03a36c8,f016b9df,mobile,wifi,320,50,2161,0,57,social
1.76451147509214E+019,0,01,facebook ios,1,1fbe01fe,f3845767,28905ebd,7357d5f1,be87996b,mobile,2G,320,50,1722,0,21,direct
1.77072388623451E+019,0,01,facebook ios,1,5b08c53b,7687a86e,3e814130,a1e99bce,ad0177e7,mobile,wifi,300,250,1994,2,67,serach
1.96271805009884E+018,0,01,facebook ios,1,85f751fd,c4e18dd6,50e219e0,c5461354,df36cdb8,mobile,2G,320,50,2161,0,57,direct
2.50186093281311E+018,0,01,facebook ios,2,5b4d2eda,16a36ef3,f028772b,fe9e6dab,8a4875bd,mobile,wifi,320,50,2333,0,57,serach
3.64711955721686E+018,0,01,facebook ios,1,1fbe01fe,f3845767,28905ebd,12c3d700,8a4875bd,mobile,wifi,320,50,1722,0,21,social
3.90607669254385E+018,0,01,facebook ios,1,9b124c1e,db7a8013,f028772b,c5ffd637,e90f2770,mobile,wifi,320,50,2161,0,57,social
5.11823161701866E+018,0,01,chrome,1,c74e86fb,7bd4e8cc,50e219e0,cb47c375,43e7b962,tablet,wifi,320,50,1722,0,21,direct
7.99473642654732E+018,0,01,facebook ios,1,85f751fd,c4e18dd6,50e219e0,372fb2d0,7abbbd5c,mobile,wifi,320,50,2487,1,49,direct
8.20852737210269E+018,0,01,facebook ios,2,fe8cc448,9166c161,0569f928,35d3916b,e6df5de5,mobile,wifi,320,50,2161,0,57,serach
8.83625802366019E+018,1,01,facebook ios,2,d9750ee7,98572c79,f028772b,4a1c3cd7,945dd5c4,mobile,wifi,320,50,1993,2,67,serach
9.8873864417696E+018,0,01,facebook ios,1,1fbe01fe,f3845767,28905ebd,5139823d,4ea23a13,mobile,wifi,320,50,1722,0,21,direct
1.06123787640956E+019,0,02,facebook ios,2,e023ba3e,75f9ddc3,f028772b,4e6a06e6,dab059c4,mobile,wifi,320,50,576,2,68,direct
1.21228051623893E+019,0,02,facebook ios,1,85f751fd,c4e18dd6,50e219e0,5b3e3133,ee007ad3,mobile,wifi,320,50,2229,0,52,serach
1.31490268514576E+019,0,02,facebook ios,1,6256f5b4,28f93029,f028772b,6a86ab34,d787e91b,mobile,wifi,320,50,547,3,77,serach
1.38876093621103E+019,0,02,facebook ios,1,85f751fd,c4e18dd6,50e219e0,17ea7bd2,4d1ad389,mobile,2G,728,90,2418,0,95,social
1.55152259650723E+018,0,02,facebook ios,2,d9750ee7,98572c79,f028772b,1.9497E+099,711ee120,mobile,wifi,320,50,1993,2,67,direct
1.67597180177841E+019,0,02,facebook ios,1,85f751fd,c4e18dd6,50e219e0,de39c097,659e09ef,mobile,wifi,320,50,2480,3,39,social
1.69826271671693E+019,0,02,facebook ios,2,5114c672,3f2f3819,3e814130,aaffe783,36b8f4c5,mobile,wifi,320,50,2227,0,52,direct
2.51913727589586E+018,0,02,chrome,1,c74e86fb,7bd4e8cc,50e219e0,775125d3,0a814229,tablet,wifi,300,50,1722,0,21,serach
2.567352228166E+018,1,02,facebook ios,1,1fbe01fe,f3845767,28905ebd,bcfe6cef,8a4875bd,mobile,wifi,320,50,1722,0,21,serach
3.31201725055628E+018,0,02,facebook ios,1,d6137915,bb1ef334,f028772b,2d02ff96,6e1e2240,mobile,wifi,320,50,1899,0,17,direct
6.2229258918819E+018,0,02,facebook ios,1,1fbe01fe,f3845767,28905ebd,3164af07,76dc4769,mobile,wifi,320,50,1722,0,21,direct
6.53563835323504E+018,0,02,facebook ios,1,85f751fd,c4e18dd6,50e219e0,1cc2f34f,d0d694e4,mobile,wifi,320,50,112,3,85,serach
7.2985529486357E+018,0,02,facebook ios,1,85f751fd,c4e18dd6,50e219e0,cb1194ae,aa35da31,mobile,wifi,320,50,2487,1,49,direct
7.58908184498212E+018,0,02,facebook ios,1,85f751fd,c4e18dd6,50e219e0,b5007bc1,158e4944,mobile,wifi,320,50,1722,0,21,direct
8.41252142486116E+018,0,02,facebook ios,1,6399eda6,968765cd,f028772b,2a839c0b,8a4875bd,mobile,wifi,320,50,1800,3,77,direct
1.33333242710379E+019,0,03,facebook ios,1,1fbe01fe,f3845767,28905ebd,c6563308,aaffed8f,mobile,wifi,320,50,1722,0,21,direct
1.61151104819131E+019,0,03,native app,1,c21df24f,c4e18dd6,f028772b,bc5dffbe,84eb6b0e,mobile,wifi,320,50,2481,3,39,serach
1.78973502187967E+019,0,03,facebook ios,2,92c7cbe7,6e882918,75fa27f6,1dd8c36c,8a4875bd,mobile,wifi,320,50,2201,3,57,direct
